index,rna
214,LINC00707
215,SNAI1
216,SNHG20
217,MINCR
218,CERS6-AS1
219,LINC01977
220,ZEB1
221,PRR34-AS1
222,DANCR
223,ROCK2
224,MIR143HG
225,KTN1-AS1
226,GABPB1-AS1
227,GAS6-AS1
228,SOX21-AS1
229,PICSAR
230,MIR4713HG
231,CNOT6L
232,AC130710
233,LINC00501
234,LINC00519
235,POU3F3
236,CTB-180A7.6
237,CDC42
238,DLEU1
239,HNF1A-AS1
240,LINC00162
241,LINC00441
242,LNC473
243,FALEC
244,KCNMB2-AS1
245,WDFY3-AS2
246,LINC01638
247,SOX2-OT
248,TINCR
249,PCGEM1
250,GAS6
251,NBR2
252,RMST
253,DLGAP1-AS1
254,ZEB1-AS1
255,LINC00312
256,HAGLROS
257,LINC00152
258,CA9
259,MFI2-AS1
260,TMPO-AS1
261,DNAJC3-AS1
262,VAPA
263,ZEB2-AS1
264,LINC01138
265,VRK1
266,RP11-909B2.1
267,ADAMTS9-AS2
268,SOX2
269,GATA3-AS1
270,LINC01234
271,DLEU2
272,LINC02308
273,MIR17HG
274,MLK7-AS1
275,CYTOR
276,VCAN
277,CTB-89H12.4
278,MTX2-6
279,CTA
280,NEAT1
281,PTCSC3
282,LINC00261
283,LINC00520
284,miR-425
285,miR-103
286,miR-548
287,miR-376c-3p
288,miR-641
289,miR-204
290,miR-141
291,miR-1299
292,miR-19a
293,miR-19b
294,miR-574-5p
295,miR-182
296,miR-20a-5p
297,miR-143
298,miR-373
299,miR-197-3p
300,miR-525-5p
301,miR-338
302,miR-194-3p
303,miR-139-5p
304,miR-491-5p
305,miR-101
306,miR-2116-3p
307,miR-32
308,miR-429
309,miR-210
310,miR-1276
311,miR-30e-3p
312,miR-34b-3p
313,miR-383
314,miR-195-5p
315,miR-664
316,miR-876-5p
317,miR-654-5p
318,miR-218-5p
319,miR-34b-5p
320,miR-367-3p
321,miR-454
322,miR-324-3p
323,miR-624-3p
324,miR-378a-3p
325,miR-193b-3p
326,miR-6838-5p
327,miR-1180
328,miR-133a-5p
329,miR-23a-5p
330,miR-506-5p
331,miR-507
332,miR-1270
333,miR-146b
334,miR-411-5p
335,miR-296-3p
336,miR-216a-5p
337,miR-148a
338,miR-494
339,miR-145-5p
340,miR-224-5p
341,miR-214
342,miR-384
343,miR-873-5p
344,miR-93-5p
345,miR-770
346,miR-515-5p
347,miR-106a-5p
348,miR-770-5p
349,miR-508
350,miR-212-3p
351,miR-200
352,miR-320b
353,miR-138-5p
354,miR-508-3p
355,miR-342-3p
356,miR-30c-5p
357,miR-9-5p
358,miR-497
359,miR-422a
360,miR-182-5p
361,miR-497-5p
362,miR-375-3p
363,miR-324-5p
364,miR-31-5p
365,miR-4530
366,miR-125b
367,miR-125a
368,miR-29c-3p
369,miR-29
370,miR-3619-5p
371,miR-381
372,miR-223-3p
373,miR-1197
374,miR-216b
375,miR-29a-3p
376,miR-580-3p
377,miR-509
378,miR-153-3p
379,miR-330-5p
380,miR-523-5p
381,miR-516a-5p
382,miR-203
383,miR-661
384,hsa-let-7e-5p
385,miR-1-3p
386,miR-185
387,miR-98
388,miR-122-5p
389,miR-491
390,miR-140
391,miR-181b
392,miR-193a-3p
393,miR-493-3p
394,miR-494-3p
395,miR-485
396,miR-379-5p
397,hsa-let-7i-5p
398,miR-211-3p
399,miR-149-5p
400,miR-26b
401,miR-449b-5p
402,miR-137-3p
403,miR-376a-3p
404,miR-890
405,miR-216a
406,miR-498
407,miR-23
408,let-7c-5p
409,miR-33b-5p
410,miR-1
411,miR-194-5p
412,miR-1306
413,miR-30b-5p
414,let-7
415,miR-125b-5p
416,miR-374a-3p
417,miR-298
418,miR-339-5p
419,miR-184
420,miR-373-3p
421,miR-363
422,miR-320c
423,miR-183
424,miR-708-5p
425,miR-139
426,miR-3200-3p
427,miR-33a-5p
428,miR-20a
429,miR-21
430,hsa-let-7d-5p
431,miR-489
432,miR-205
433,miR-654-3p
434,miR-128-3p
435,miR-193a
436,miR-187-3p
437,miR-134
438,miR-19b-3p
439,miR-133a
440,miR-181d-5p
441,miR-302a-3p
442,miR-320a
443,miR-4513
444,miR-520g
445,miR-370
446,miR-132
447,miR-183-5p
448,miR-448
449,miR-142
450,miR-3130-3p
451,miR-199a
452,miR-188-5p
453,miR-214-3p
454,miR-134-5p
455,miR-18a-5p
456,miR-335-5p
457,miR-124-3p
458,miR-1224-5p
459,miR-186-5p
460,miR-19
461,miR-664a
462,miR-200a
463,miR-577
464,miR-320d
465,miR-137
466,miR-20b-5p
467,miR-22
468,miR-202-3p
469,miR-186
470,miR-4677-3p
471,miR-545
472,miR-203a
473,miR-432-5p
474,miR-153
475,miR-185-5p
476,miR-150-5p
477,miR-487a-3p
478,miR-3064-5p
479,miR-542-3p
480,miR-18a
481,miR-129
482,miR-1224-3p
483,let-7a
484,miR-346
485,miR-1297
486,miR-3934-5p
487,miR-3194-3p
488,miR-590-5p
489,miR-329
490,miR-382-3p
491,miR-574
492,miR-4465
493,miR-454-3p
494,miR-2467-5p
495,miR-146b-5p
496,miR-450b-5p
497,miR-299-3p
498,miR-93
499,miR-331-3p
500,miR-34a-5p
501,miR-211-5p
502,miR-665
503,miR-645
504,miR-425-5p
505,miR-18a-3p
506,miR-107
507,miR-877-3p
508,hsa-let-7g-5p
509,miR-302d-3p
510,miR-655
511,miR-155
512,miR-144
513,miR-205-5p
514,miR-489-3p
515,miR-1179
516,let-7e-5p
517,miR-802
518,miR-214-5p
519,miR-26a
520,miR-506-3p
521,miR-3126-5p
522,miR-202-5p
523,miR-26b-5p
524,miR-1246
525,let-7e
526,miR-10a-5p
527,miR-138
528,miR-329-3p
529,let-7b
530,miR-335
531,miR-216
532,miR-203b-3p
533,miR-2054
534,miR-924
535,miR-377-3p
536,miR-519e-5p
537,miR-218
538,miR-140-5p
539,miR-520a-3p
540,miR-510-5p
541,miR-376a
542,miR-766-5p
543,miR-663b
544,miR-374
545,miR-526b-3p
546,miR-513a-5p
547,miR-377
548,miR-551b-3p
549,miR-152
550,miR-29a-5p
551,miR-124
552,miR-1193
553,miR-421
554,miR-16-2
555,miR-181b-5p
556,miR-217
557,miR-455-5p
558,miR-29b
559,miR-34a-3p
560,miR-130a-5p
561,miR-370-3p
562,miR-125b-2-3p
563,miR-761
564,let-7a-5p
565,miR-1225-3p
566,miR-194
567,miR-193a-5p
568,miR-5590-3p
569,miR-1271-5p
570,miR-1207-5p
571,miR-488
572,miR-24
573,miR-126-5p
574,miR-126
575,miR-548ar-3p
576,miR-96
577,miR-613
578,miR-130a-3p
579,miR-340-5p
580,miR-206
581,miR-136
582,miR-4319
583,miR-34c
584,miR-490
585,miR-188-3p
586,miR-4294
587,miR-195
588,miR-106b-5p
589,miR-944
590,miR-2355-3p
591,miR-181
592,miR-152-3p
593,miR-500a-3p
594,miR-29a
595,miR-363-5p
596,miR-29c
597,miR-103a
598,miR-9
599,miR-202
600,miR-485-3p
601,miR-199b
602,miR-367
603,miR-382
604,miR-3127-5p
605,miR-141-3p
606,miR-320
607,hsa-let-7b-5p
608,miR-23a
609,hsa-let-7a-5p
610,miR-544a
611,miR-483
612,miR-103a-3p
613,miR-221-3p
614,miR-132-3p
615,miR-185-3p
616,miR-30b
617,miR-106b
618,miR-17-5p
619,miR-15a-5p
620,miR-496
621,hsa-let-7c-5p
622,miR-122
623,miR-589-5p
624,miR-25-3p
625,miR-615-3p
626,miR-20b
627,miR-23a-3p
628,miR-204-3p
629,miR-142-3p
630,miR-495-3p
631,miR-512-3p
632,miR-222-5p
633,miR-619-5p
634,miR-22-5p
635,miR-26a-5p
636,miR-224
637,miR-588
638,miR-497-3p
639,miR-212
640,miR-133b
641,miR-490-3p
642,miR-181a
643,miR-15b
644,miR-485-5p
645,miR-181a-5p
646,miR-376
647,miR-758-3p
648,miR-154-3p
649,miR-940
650,miR-222-3p
651,miR-509-5p
652,miR-937-5p
653,miR-98-5p
654,miR-130a
655,miR-425-3p
656,miR-760
657,miR-199a-5p
658,miR-142-5p
659,miR-29b-3p
660,miR-338-3p
661,miR-449a
662,miR-328
663,miR-4766-5p
664,miR-196a-5p
665,miR-595
666,miR-671
667,miR-144-3p
668,miR-599
669,miR-146a-5p
670,miR-223
671,miR-211
672,miR-4428
673,miR-1306-5p
674,miR-634
675,miR-297
676,miR-539-5p
677,miR-128
678,miR-154-5p
679,miR-22-3p
680,miR-7
681,miR-369-3p
682,miR-92a
683,miR-7-5p
684,miR-27b
685,miR-34c-5p
686,miR-106a
687,miR-495
688,miR-411-3p
689,hsa-let-7f-5p
690,miR-608
691,miR-504
692,miR-550a-3p
693,miR-200c-3p
694,miR-25
695,miR-101-3p
696,miR-4784
697,miR-27a-3p
698,miR-361-3p
699,miR-301a
700,miR-3129-5p
701,miR-143-3p
702,miR-4735-3p
703,miR-30a-3p
704,miR-3156-5p
705,miR-503-5p
706,miR-216b-5p
707,miR-105-5p
708,miR-431
709,miR-449b
710,miR-2114-3p
711,miR-4518
712,miR-147a
713,miR-486
714,miR-765
715,miR-493-5p
716,miR-671-5p
717,miR-155-5p
718,miR-139-3p
719,miR-483-3p
720,miR-30e
721,miR-92a-3p
722,miR-300
723,miR-488-3p
724,miR-148b-3p
725,miR-196a
726,miR-299
727,miR-433-3p
728,miR-149
729,miR-15a
730,miR-223-5p
731,miR-181c-5p
732,miR-30a-5p
733,miR-135a-5p
734,miR-10a
735,miR-135b-5p
736,miR-381-3p
737,miR-140-3p
738,miR-326
739,miR-23b
740,miR-650
741,miR-150
742,miR-200c
743,miR-646
744,miR-146a
745,miR-330
746,miR-200a-3p
747,miR-1972
748,miR-876-3p
749,miR-129-5p
750,miR-17
751,miR-221
752,miR-380-3p
753,miR-200b
754,miR-874-3p
755,miR-431-5p
756,miR-27b-3p
757,miR-362-5p
758,miR-30
759,let-7i
760,miR-133a-3p
761,miR-1322
762,miR-222
763,miR-34a
764,miR-16-5p
765,miR-340
766,miR-10b
767,miR-199b-5p
768,miR-24-3p
769,miR-23b-3p
770,miR-197
771,miR-145
772,miR-513c
773,miR-125a-5p
774,let-7c
775,miR-1275
776,miR-539
777,miR-363-3p
778,miR-127-5p
779,miR-135b
780,miR-199a-3p
781,miR-375
782,miR-16-1-3p
783,miR-3163
784,miR-508-5p
785,miR-204-5p
786,miR-100-5p
787,miR-16
788,miR-130b-5p
789,miR-149-3p
790,miR-532-5p
791,miR-455-3p
792,miR-506
793,miR-365
794,miR-424-5p
795,miR-135a
796,miR-579-3p
797,miR-181a-2-3p
798,miR-590-3p
799,miR-515-3p
800,miR-21-5p
